text,start,duration
"40 years, which authorized over $181 million to fight",301.034,4.137
the opioid epidemic.,305.171,2.336
Part of the mission of the President&amp;#39;s commission,307.507,1.501
will be to ensure that those funds are spent,309.008,1.969
efficiently and effectively.,310.977,1.868
Too many lives are at stake to risk wasting,312.845,3.07
any money on this effort.,315.915,1.568
"Moving on, later this afternoon the President",317.483,1.702
will welcome Prime Minister Rasmussen,319.185,1.635
of Denmark for a working visit.,320.82,3.203
We&amp;#39;ll have a readout on their bilateral meeting,324.023,1.702
for you at its conclusion.,325.725,1.735
"A couple follow-ups from yesterday, I know Hunter",327.46,2.436
asked about the House and the Senate passage,329.896,3.336
disapproving of the Federal Communications,333.232,1.969
regulations on privacy rules from last year.,335.201,3.27
"So, let me just expand on that a little and get",338.471,1.835
to your question.,340.306,1.201
The White House supports Congress using its authority,341.507,2.336
under the Congressional Review Act,343.843,1.668
to roll back last year&amp;#39;s FCC rules on broadband regulation.,345.511,3.971
"The previous administration, in an attempt to treat Internet",349.482,2.603
"service providers differently than edge providers,",352.085,3.169
"such as Google and Facebook, reclassified them",355.254,2.303
as common carriers --,357.557,1.635
much like a hotel or another retail outlet --,359.192,3.403
and opened the door to an unfair regulatory framework.,362.595,2.97
This will allow all service providers to be,365.565,1.801
treated fairly and consumer protection and privacy concerns,367.366,3.17
to be reviewed on an equal playing field.,370.536,2.469
The President pledged to reverse this type of,373.005,2.269
federal overreach in which bureaucrats in Washington,375.274,3.003
take the interests of one group of companies over,378.277,3.471
"the interests of others, picking winners and losers.",381.748,3.169
The President has signed more legislation under the,384.917,1.869
"Congressional Review Act, ending job-killing rules",386.786,2.703
and regulations than all previous Presidents,389.489,2.235
"combined already, and he will continue to fight",391.724,2.269
Washington red tape that stifles American,393.993,2.069
"innovation, job creation and economic growth.",396.062,4.171
"Jeff was here yesterday, Roberta is here now --",400.233,1.902
"but following up on Jeff&amp;#39;s question, he asked about",402.135,2.435
the administration&amp;#39;s position on the Paris climate treaty.,404.57,3.704
We are currently reviewing issues related to the,408.274,1.802
"agreement, and expect to have a decision by the time",410.076,3.303
"of the G7 Summit, late May-ish, if not sooner.",413.379,3.904
"Before I take your questions, I wanted",417.283,1.335
to speak quickly about Judge Gorsuch again and the process,418.618,2.335
behind his nomination and confirmation.,420.953,2.102
"From the beginning, I think the President has",423.055,2.47
been clear and 100 percent transparent about his,425.525,2.035
"choices, if he had been elected, who he would",427.56,2.436
choose from.,429.996,1.001
"As a matter of fact, I&amp;#39;d say that the level of",430.997,1.401
"transparency is probably unprecedented in modern times,",432.398,2.536
at least.,434.934,1.435
"During the campaign, he gave the American people",436.369,1.902
a list of 21 judges which he would pick his choice,438.271,2.469
for the Supreme Court from.,440.74,1.468
The American people sent him to the White House,442.208,1.501
to nominate one of those judges -- and he did it.,443.709,2.77
"Prior to the President making his final decision,",446.479,2.035
the White House spoke with 29 senators -- more than,448.514,2.569
half of whom were from the Democrat side of the,451.083,1.969
"aisle, including every Democrat member of the",453.052,2.169
Senate Judiciary Committee -- to seek their advice,455.221,1.969
and consent on the nomination.,457.19,2.335
The consensus was that the President&amp;#39;s pick should be,459.525,2.102
a respected mainstream judge.,461.627,2.036
"As I&amp;#39;ve laid out many times before, from",463.663,2.068
unanimous consent of the 10th Circuit Court,465.731,2.87
of Appeals to the extraordinarily low rate,468.601,2.369
"of majority opinions accompanied by dissent,",470.97,2.436
Judge Gorsuch is the definition,473.406,1.935
"of a mainstream, respected judge.",475.341,3.17
He has offered the Senate plenty of material,478.511,1.868
to vouch for that.,480.379,1.101
"Since his nomination, Judge Gorsuch met with",481.48,1.969
nearly 80 senators.,483.449,1.935
In response to requests from the Senate Judiciary,485.384,2.002
"Committee, Judge Gorsuch provided the following,",487.386,2.736
over 70 pages of written answers about his personal,490.122,3.337
records in response to 299 questions for the record,493.459,4.204
"by Democrats on the committee, the most",497.663,2.469
"in recent history, which he submitted within six days",500.132,2.87
"of receiving the questions; over 75,000",503.002,2.803
"pages of documents, including speeches, case",505.805,2.502
"briefs, opinions, and written work going back",508.307,2.77
"as far as college; and over 180,000 pages of email",511.077,4.337
and paper records related to the judge&amp;#39;s time,515.414,2.603
"at the Department of Justice In fact, the Department of Justice",518.017,3.036
provided access to many documents that would,521.053,1.669
"normally be guarded by various privileges,",522.722,2.202
in a historically unprecedented move in the spirit of,524.924,3.47
cooperation with Senate Democrats.,528.394,1.969
And the judge sat for three rounds and nearly,530.363,2.002
20 hours of questioning by the Senate Judiciary,532.365,2.068
"Committee, during which he was asked nearly 1,200",534.433,4.271
"questions, almost twice as many as Justices",538.704,2.77
"Sotomayor, Kagan, or Ginsburg.",541.474,2.903
The White House and the judge did all of this,544.377,2.035
"in the hopes that Senate Democrats, many of whom",546.412,2.302
already had announced their intent to filibuster,548.714,1.869
"Judge Gorsuch&amp;#39;s nomination, would look",550.583,2.202
beyond their political game and see for,552.785,1.602
themselves how eminently qualified he is to sit,554.387,2.936
on the Supreme Court.,557.323,1.501
"Unfortunately, it looks more and more like Senate",558.824,2.403
Democrats would rather do all that they did,561.227,2.135
in reading and questioning for nothing more than,563.362,2.836
for political theater.,566.198,2.269
"Finally, before I take your questions, a letter",568.467,3.304
was transmitted just recently to the ranking,571.771,2.936
member and chairman of the House and Senate,574.707,2.502
"Intelligence Committees that said, &amp;quot;In the ordinary course",577.209,3.471
"of business, national security staff discovered documents",580.68,3.069
"that we believe are in response to your March 15, 2017 letter",583.749,3.938
to the intelligence community seeking &amp;#39;documents necessary,587.687,3.336
to determine whether information,591.023,1.802
collected on U.S. persons was mishandled and leaked.&amp;#39;&amp;quot;,592.825,4.104
We have and will invite the Senate and House ranking members,596.929,4.438
and Chairman up to the White House to view that material,601.367,3.904
in accordance with their schedule.,605.271,1.802
"With that, I&amp;#39;d be glad to take a few of your questions.",607.073,2.869
Cheryl.,609.942,1.702
"The Press: Thanks, Sean.",611.644,1.268
I&amp;#39;m trying to gauge the probability,612.912,2.302
of a government shutdown at the end of April.,615.214,2.536
Are your directions to the Capitol Hill to hold firm,617.75,3.437
"on the spending cuts that the President wants,",621.187,2.736
or to try to wheel and deal and get a bill that can keep,623.923,3.036
the government open?,626.959,1.902
Mr. Spicer: I don&amp;#39;t know that they&amp;#39;re mutually exclusive.,628.861,1.235
I think we want --,630.096,2.035
The Press: You wouldn&amp;#39;t want pushback on Capitol Hill,632.131,1.101
from some --,633.232,0.868
Mr. Spicer: There generally is.,634.1,2.335
But I think that we want both.,636.435,1.702
I think we want to maintain some of the,638.137,2.369
spending priorities as well as some,640.506,1.635
of the reductions in the 2017 budget.,642.141,3.437
We want to do so responsibly and do so,645.578,1.735
within the priorities that the President has laid out.,647.313,2.102
I think his funding requests and priorities,649.415,3.604
are laid out in the budget that Director Mulvaney,653.019,2.869
detailed and sent up for the remainder of 2017.,655.888,3.504
"There are some key things in that, and I think that",659.392,2.736
it is going to begin a conversation that we will,662.128,2.435
continue to have with the House and Senate.,664.563,2.102
But I don&amp;#39;t think both of those goals are mutually exclusive.,666.665,2.269
"Obviously, we don&amp;#39;t want the government to shut down,",668.934,3.437
but we want to make sure that we&amp;#39;re funding the priorities,672.371,1.802
of the government.,674.173,1.001
John Decker.,675.174,1.168
"The Press: Thanks a lot, Sean.",676.342,0.901
I wanted to ask about some news that the President,677.243,2.035
made today with a tweet that he put out on Twitter.,679.278,2.402
He seemed to be picking a fight with the Freedom Caucus;,681.68,3.437
"and the Freedom Caucus, as you know,",685.117,1.402
has 30 members.,686.519,1.668
Does the President realize how important this caucus,688.187,2.236
"is, this coalition is, in terms of passing",690.423,3.269
a replacement bill for the Affordable Care Act,693.692,3.003
and passing the rest of his legislative agenda?,696.695,2.903
"Mr. Spicer: Well, of course he understands",699.598,2.336
that the goal of all legislation is get,701.934,2.035
"to a majority in the House, majority in the Senate.",703.969,4.271
"But at the end of the day, he recognizes that he has",708.24,2.136
a bold and robust agenda that he is trying to enact,710.376,2.903
that he ran on and told the American people that,713.279,3.837
"he would do when he was President, and he&amp;#39;s going",717.116,1.868
to get the votes from wherever he can.,718.984,1.335
The Press: Can he pass that agenda without,720.319,2.269
the help of the Freedom Caucus?,722.588,1.001
"Mr. Spicer: Well, there&amp;#39;s two questions.",723.589,1.368
"One is, I mean, mathematically, yes.",724.957,2.436
"But secondly, I think that there&amp;#39;s a few members",727.393,2.169
"of the Freedom Caucus, both prior to last Friday&amp;#39;s",729.562,2.402
"vote and since then, who have expressed",731.964,2.035
a willingness to want to work with him rather,733.999,2.536
than necessarily as a bloc.,736.535,3.27
And I think that there continues to be some,739.805,3.704
promising signs with that.,743.509,5.005
"So again, I think part of is, is that I think if people",748.514,1.935
are more concerned with voting as a bloc,750.449,1.702
than in what&amp;#39;s in the best interests of their,752.151,2.235
"constituents and the American people,",754.386,1.268
"he&amp;#39;s hoping that people will see the bigger picture,",755.654,2.77
"the goals that we outlined, and sometimes",758.424,2.269
not let the really good be the enemy of the perfect.,760.693,1.735
The Press: He seemed to imply in that tweet that,762.428,2.035
he would be in favor of primary-ing some,764.463,3.737
individuals in the Freedom Caucus who oppose his agenda.,768.2,3.904
Is that correct?,772.104,1.001
Did I read that correctly?,773.105,1.301
Mr. Spicer: I&amp;#39;m going to say -- I&amp;#39;m going to let,774.406,1.068
the tweet speak for itself.,775.474,1.135
For those of you who think -- or just for your,776.609,2.469
"understanding, it would be improper of me to discuss",779.078,2.636
the election or defeat of any candidate from this podium.,781.714,2.836
Matt.,784.55,1.134
"The Press: Thanks, Sean.",785.684,0.801
"Two questions, if you don&amp;#39;t mind.",786.485,1.502
Mr. Spicer: I want phenomenal questions from you.,787.987,1.234
The Press: That&amp;#39;s what I&amp;#39;ll give you.,789.221,1.435
(Laughter.),790.656,1.068
"First, we know now --",791.724,1.101
Mr. Spicer: You get it?,792.825,1.234
"The Press: No, I got it.",794.059,1.102
(Laughter.),795.161,2.168
"So, two White House officials, according to New York Times",797.329,2.102
"reporting, provided Representative Nunes with",799.431,3.504
the information that he spoke about last week.,802.935,2.035
"And according to the Times, the senior director",804.97,3.47
"for intelligence on the NSC, who was hired by",808.44,2.803
"Michael Flynn, started going through these",811.243,1.902
documents after the President&amp;#39;s tweet --,813.145,2.669
the wiretapping tweet.,815.814,1.202
"So, I&amp;#39;m wondering if the White House thinks it&amp;#39;s",817.016,1.568
appropriate for national security officials to be,818.584,2.603
conducting what&amp;#39;s basically a political,821.187,2.235
"task, which is trying to find information that",823.422,2.703
then validates something the President said.,826.125,2.169
"Mr. Spicer: So I read the report, and respectfully",828.294,2.969
I think your questions assumes that the reporting,831.263,1.969
is correct.,833.232,1.201
The Press: It does.,834.433,0.934
Mr. Spicer: And so I would just suggest to you that,835.367,2.436
the letter that was submitted earlier to,837.803,2.002
the ranking -- the chairman and the ranking members,839.805,2.703
of the two committees -- two intelligence committees,842.508,2.235
"on the Hill, the reason that the White House has asked",844.743,3.204
them to come up is to view that information.,847.947,2.168
"And again, I don&amp;#39;t want to get in front of that.",850.115,3.07
"As I&amp;#39;ve said before, we are not as obsessed with",853.185,3.404
the process as much as the substance.,856.589,1.167
And I think that our goal is to make sure that the,857.756,3.437
"ranking members of both committees, as well as",861.193,2.336
"the chairman, see the information that --",863.529,4.204
"the materials that are important to this,",867.733,2.102
and then worry about the outcome at the end of this.,869.835,2.569
"The Press: And then on a different topic, with",872.404,2.269
"Ms. Walsh&amp;#39;s departure today, are you expecting",874.673,3.337
any more staffing shakeups in the West Wing?,878.01,2.803
Mr. Spicer: No.,880.813,1.435
Catherine.,882.248,1.101
"The Press: Sean, are you saying that The New York",883.349,1.401
Times reporting today is not correct on whoever was,884.75,1.802
-- Mr. Spicer: I&amp;#39;m saying that in order to comment,886.552,3.003
"on that story, would be to validate certain things",889.555,4.971
that I am not at liberty to do.,894.526,2.436
"The Press: For days, you haven&amp;#39;t been able to tell",896.962,1.135
"us who he met with, what the circumstances were.",898.097,1.568
Mr. Spicer: And I understand that.,899.665,1.335
"And again, and I think that there is an",901,3.536
"assumption, as I&amp;#39;ve said before, we cannot condone",904.536,1.368
that -- in the same way that you protect sources,905.904,2.47
when I call you and say you&amp;#39;ve got 18 anonymous,908.374,2.702
"sources, and you go, well, I can&amp;#39;t reveal my sources;",911.076,2.503
Chairman Nunes in conducting an investigation,913.579,2.269
and a review has an opportunity to have his sources.,915.848,3.069
Our view was -- is that the smart move was to make,918.917,3.404
all the materials available to the chairman,922.321,2.502
and the ranking member of the relevant committees.,924.823,2.403
And I understand the obsession with the process,927.226,3.737
"piece, but we are focused on the substance of it.",930.963,2.803
And I think the goal is to make sure that people have,933.766,2.669
the substance that are looking into this that we,936.435,2.97
have asked to look into this --,939.405,1.868
"The Press: So, the White House did make materials",941.273,1.802
available already?,943.075,1.335
"Mr. Spicer: No, no, we have sent a letter within",944.41,2.168
the past few hours to both of those committees,946.578,4.371
informing them that we wanted to make that,950.949,1.902
available to them.,952.851,1.235
The Press: And what kind of message do you think,954.086,1.068
this sends to people watching this?,955.154,1.401
Does it --,956.555,1.135
Mr. Spicer: I think it sends a message that we want them to,957.69,2.168
"look into this, that I think that -- as we have maintained",959.858,2.269
"from all along, that I think there&amp;#39;s a belief that",962.127,2.169
the President has maintained that there was surveillance,964.296,3.27
that occurred during the 2016 election that was,967.566,3.737
"improper, and that we want people to look into this",971.303,2.569
and take the appropriate legal responsible steps,973.872,3.504
to both understand it and then address it.,977.376,2.936
Major.,980.312,1.468
The Press: I want to read to you something you said,981.78,1.669
here at the podium on March 23rd when you were,983.449,2.135
originally asked if the White House might have had,985.584,1.935
any role in providing information to Chairman Nunes.,987.519,3.47
"You first said it didn&amp;#39;t make any sense to you, and",990.989,2.503
"you went to say -- and I&amp;#39;m quoting you here, &amp;quot;I don&amp;#39;t",993.492,1.969
know why he&amp;quot; -- Chairman Nunes -- &amp;quot;would brief the,995.461,2.469
Speaker and then come down here to brief us on,997.93,1.501
something that we would have briefed him on.,999.431,2.102
It doesn&amp;#39;t seem to make a ton of sense.,1001.533,1.869
"So, I&amp;#39;m not aware of it, but it doesn&amp;#39;t really pass",1003.402,1.835
the smell test.&amp;quot;,1005.237,1.568
There is now reporting -- which I can&amp;#39;t tell if,1006.805,1.669
you&amp;#39;re disputing or not -- that identifies two people,1008.474,3.069
within this White House as the sources of this information.,1011.543,3.404
"So I&amp;#39;m just trying to put these things together,",1014.947,1.501
where you said it &amp;quot;doesn&amp;#39;t pass the smell test&amp;quot;,1016.448,2.036
on March 23rd.,1018.484,1.167
Now there&amp;#39;s reporting that suggests that it is within,1019.651,2.002
"the White House, that they were the sources of this.",1021.653,2.369
I&amp;#39;m just trying to put those two things together.,1024.022,1.669
"Mr. Spicer: All right, so number one, the first",1025.691,1.468
"quote that you&amp;#39;re reading, if you actually go back, I",1027.159,2.169
"was responding to -- I was very clear that I said,",1029.328,2.669
&amp;quot;Based on what Chairman Nunes has said&amp;quot; -- the,1031.997,3.27
following doesn&amp;#39;t make sense.,1035.267,1.068
"The Press: Okay, so within that.",1036.335,1.334
Mr. Spicer: But that&amp;#39;s an important part --,1037.669,1.368
The Press: I&amp;#39;m gathering that you&amp;#39;ve,1039.037,1.068
"learned something new since then, so please",1040.105,1.135
tell us what you&amp;#39;ve learned.,1041.24,1.201
"Mr. Spicer: Right, and again -- no, no, no,",1042.441,1.234
"because again, Major, I&amp;#39;ve commented on this both",1043.675,1.302
"yesterday and today, that your obsession with who",1044.977,3.069
talked to whom and when is not the answer here.,1048.046,2.503
It should be the substance.,1050.549,1.435
In the same way that when you guys print a story,1051.984,1.768
"with 18 anonymous sources, your obsession is the substance,",1053.752,2.97
it seems now that you continue to look at from a backwards,1056.722,3.537
"prism, which is, &amp;quot;What happened?",1060.259,1.568
Who drove in what gate?,1061.827,0.968
Who did they meet with?,1062.795,0.834
What were they wearing that day?&amp;quot;,1063.629,1.334
"as opposed to, &amp;quot;What&amp;#39;s the underlying substance of this?",1064.963,2.203
Did something happen in the 2016 election?,1067.166,3.97
Did leaks occur?&amp;quot;,1071.136,1.135
We are not going to engage actively in that kind,1072.271,3.937
of leaking that has been a problem.,1076.208,2.436
"In fact, if you look at Obama&amp;#39;s Deputy Assistant",1078.644,4.704
"Secretary of Defense that is out there, Evelyn",1083.348,1.936
"Farkas, she made it clear that it was their goal",1085.284,4.037
"to spread this information around, that they went",1089.321,2.669
around and did this.,1091.99,1.001
"And she said, &amp;quot;That&amp;#39;s why there are so many leaks.&amp;quot;",1092.991,2.937
They have admitted on the record that this was their,1095.928,2.602
goal -- to leak stuff.,1098.53,1.635
And they literally -- she said on the record,1100.165,2.403
&amp;quot;Trump&amp;#39;s team.&amp;quot;,1102.568,1.201
There are serious questions out there about,1103.769,2.035
what happened and why and who did it.,1105.804,2.536
And I think that&amp;#39;s really where our focus,1108.34,1.735
is in making sure that that information gets out.,1110.075,2.269
"The Press: But can&amp;#39;t the process, from your vantage",1112.344,3.604
"point, validate the importance of the substance?",1115.948,2.402
"Mr. Spicer: Well, I think there&amp;#39;s a review that",1118.35,2.035
we&amp;#39;ve asked for probably --,1120.385,1.102
The Press: And you&amp;#39;ve told us that you&amp;#39;re willing to look,1121.487,2.402
into and ask questions about the process and provide us answers.,1123.889,2.903
That&amp;#39;s all I&amp;#39;m trying to --,1126.792,1.068
"Mr. Spicer: No, no, no -- no, don&amp;#39;t -- please don&amp;#39;t put words",1127.86,1.735
in my mouth. I never said I would provide you answers.,1129.595,1.902
I said we would look into it.,1131.497,1.868
The responsible thing for us to do is to provide,1133.365,2.803
the individuals and the committees who are doing,1136.168,2.169
the review the materials that they&amp;#39;re looking for --,1138.337,2.936
or some of them.,1141.273,0.834
We don&amp;#39;t know how many -- what they&amp;#39;re exactly,1142.107,1.368
"looking for, what they&amp;#39;ve seen, and what they haven&amp;#39;t.",1143.475,2.136
Our goal is to be as forthright as possible.,1145.611,1.902
They asked the intelligence communities,1147.513,1.634
and others in a March letter for information.,1149.147,4.405
We are willing to provide them with the information,1153.552,4.438
that we have -- the materials that we have,1157.99,2.469
come across.,1160.459,1.401
And I think that is an important step.,1161.86,1.235
"Again, it is not -- our obligation is to make sure",1163.095,2.035
the review is done both in the House and the Senate,1165.13,2.436
"as we asked for a few weeks ago, not to make",1167.566,2.035
sure that we illegally leak out information to you.,1169.601,3.137
"The Press: And when you say &amp;quot;we have information,&amp;quot;",1172.738,3.136
are you disputing the reports in the New York Times?,1175.874,3.303
"Mr. Spicer: I&amp;#39;m not commenting on the reports, Major.",1179.177,3.137
I just got asked the same question.,1182.314,0.867
The Press: But you&amp;#39;re saying &amp;quot;we.&amp;quot;,1183.181,2.57
"So, I&amp;#39;m just trying to find out, they&amp;#39;re naming",1185.751,1.234
"some people that work for the NSC, who work",1186.985,1.201
at this White House --,1188.186,1.102
"Mr. Spicer: No, no, no, I&amp;#39;m saying -- no, &amp;quot;we&amp;quot; meaning",1189.288,1.001
"the White House, is not going to start confirming --",1190.289,1.101
The Press: -- who have been named now publicly,1191.39,1.168
for the first time.,1192.558,0.9
Mr. Spicer: I get it.,1193.458,1.001
We are not going to start commenting on one-off,1194.459,1.335
anonymous sources that publications publish.,1195.794,0.901
"The Press: If it were wrong, would you tell us?",1196.695,1.768
Mr. Spicer: I&amp;#39;m not going to get into it.,1198.463,1.335
"As I&amp;#39;ve just said, I get it.",1199.798,1.068
How many times you can ask the same question?,1200.866,2.235
Hunter.,1203.101,0.968
"The Press: Thank you, Sean.",1204.069,1.068
I have two questions.,1205.137,1.101
"The first, President Trump is pushing for a major tax cut,",1206.238,2.035
increases in defense and infrastructure,1208.273,1.702
"spending, and the border wall.",1209.975,1.468
"Does he think this agenda has to be deficit-neutral,",1211.443,2.436
or is he open to plans that might initially,1213.879,1.802
add to the debt?,1215.681,0.8
"Mr. Spicer: Well, I think when it comes to tax",1216.481,2.036
"reform, he&amp;#39;s got three underlying goals.",1218.517,3.303
"One is tax simplification, two is to lower the rates,",1221.82,2.803
and three is to grow jobs and the economy.,1224.623,4.037
"And I think part of it is, is that if you look",1228.66,2.703
"at it dynamically, as the plan develops -- and again,",1231.363,2.302
"as I mentioned earlier, we&amp;#39;re not there yet; we are",1233.665,1.869
beginning that process of engaging with stakeholders.,1235.534,2.469
"As the plan develops and there&amp;#39;s a cost put on it,",1238.003,2.703
that&amp;#39;s going to be a decision that gets looked,1240.706,2.302
at as well as what are the economic growth,1243.008,1.668
and job-creation aspects to it.,1244.676,1.368
So to answer that question without knowing what,1246.044,2.57
"the full scope of it is, is looking at something",1248.614,2.402
and answering it in a vacuum.,1251.016,1.735
"The Press: And then, just to clarify one thing with",1252.751,1.635
"the New York Times story, I know you won&amp;#39;t identify",1254.386,2.569
"Congressman Nunes as &amp;quot;sources,&amp;quot; but isn&amp;#39;t",1256.955,2.236
it abundantly clear that at least some White House,1259.191,2.402
officials had to be involved in him getting,1261.593,2.369
information here because they would need to help,1263.962,1.969
them access the complex?,1265.931,1.034
Mr. Spicer: I cannot get into who those individuals were.,1266.965,5.873
"The Press: Right, but it was someone",1272.838,1.334
"at the White House, right?",1274.172,1.268
"Mr. Spicer: Well, again, it&amp;#39;s -- again, if I start",1275.44,2.069
going down the path of confirming and denying,1277.509,1.668
"one thing, that we&amp;#39;re going down a very slippery slope.",1279.177,2.736
I&amp;#39;ve made our position very clear on that.,1281.913,1.802
Jessica.,1283.715,0.868
"The Press: Thank you, Sean.",1284.583,1.735
Thank you for announcing the visit of the Chinese President.,1286.318,2.669
"I have a couple of questions about that visit,",1288.987,2.436
if you&amp;#39;d entertain me.,1291.423,2.035
Can you talk about the location and how it was,1293.458,2.102
chosen for this visit?,1295.56,2.169
"Mr. Spicer: There is, as you can imagine, on any",1297.729,2.369
"trip, no matter who the foreign leader is,",1300.098,2.169
there&amp;#39;s a lot of discussion that goes back and forth between,1302.267,2.669
"the White House, the State Department",1304.936,2.369
"and the equivalents of the other head of governments,",1307.305,4.305
their appropriate counterparts.,1311.61,2.135
And those are the kind of things that go back,1313.745,1.468
"and forth in terms of how long, the activities,",1315.213,2.803
